week_start,campaign_id,category,region,spend,impressions
2026-05-25,C-1000,Apparel,Region X,424326.14,21216307
2026-05-25,C-1001,Apparel,Region Y,234342.68,11717133
2026-05-25,C-1002,Apparel,Region Z,146048.43,7302421
2026-05-25,C-1003,Beauty,Region X,266086.17,13304308
2026-05-25,C-1004,Beauty,Region Y,138396.9,6919845
2026-05-25,C-1005,Beauty,Region Z,90299.43,4514971
2026-05-25,C-1006,Electronics,Region X,841997.89,42099894
2026-05-25,C-1007,Electronics,Region Y,460524.49,23026224
2026-05-25,C-1008,Electronics,Region Z,297140.73,14857036
2026-05-25,C-1009,Home & Kitchen,Region X,322428.22,16121411
2026-05-25,C-1010,Home & Kitchen,Region Y,163391.46,8169573
2026-05-25,C-1011,Home & Kitchen,Region Z,112565.64,5628281
2026-05-25,C-1012,Wearables,Region X,124287.17,6214358
2026-05-25,C-1013,Wearables,Region Y,61466.26,3073312
2026-05-25,C-1014,Wearables,Region Z,43221.58,2161079
2026-06-01,C-1015,Apparel,Region X,463443.6,23172179
2026-06-01,C-1016,Apparel,Region Y,263572.08,13178603
2026-06-01,C-1017,Apparel,Region Z,154297.89,7714894
2026-06-01,C-1018,Beauty,Region X,253396.46,12669823
2026-06-01,C-1019,Beauty,Region Y,126768.13,6338406
2026-06-01,C-1020,Beauty,Region Z,85149.05,4257452
2026-06-01,C-1021,Electronics,Region X,743967.2,37198359
2026-06-01,C-1022,Electronics,Region Y,441539.86,22076992
2026-06-01,C-1023,Electronics,Region Z,294221.65,14711082
2026-06-01,C-1024,Home & Kitchen,Region X,285909.25,14295462
2026-06-01,C-1025,Home & Kitchen,Region Y,165724.44,8286222
2026-06-01,C-1026,Home & Kitchen,Region Z,100027.35,5001367
2026-06-01,C-1027,Wearables,Region X,112717.22,5635860
2026-06-01,C-1028,Wearables,Region Y,66116.13,3305806
2026-06-01,C-1029,Wearables,Region Z,39171.88,1958593
2026-06-08,C-1030,Apparel,Region X,456289.53,22814476
2026-06-08,C-1031,Apparel,Region Y,228940.96,11447048
2026-06-08,C-1032,Apparel,Region Z,147589.22,7379460
2026-06-08,C-1033,Beauty,Region X,251999.9,12599994
2026-06-08,C-1034,Beauty,Region Y,139510.96,6975548
2026-06-08,C-1035,Beauty,Region Z,80905.82,4045290
2026-06-08,C-1036,Electronics,Region X,809392.23,40469611
2026-06-08,C-1037,Electronics,Region Y,463830.58,23191528
2026-06-08,C-1038,Electronics,Region Z,289959.76,14497988
2026-06-08,C-1039,Home & Kitchen,Region X,282296.88,14114844
2026-06-08,C-1040,Home & Kitchen,Region Y,167441.33,8372066
2026-06-08,C-1041,Home & Kitchen,Region Z,107893.84,5394692
2026-06-08,C-1042,Wearables,Region X,111114.84,5555741
2026-06-08,C-1043,Wearables,Region Y,69752.47,3487623
2026-06-08,C-1044,Wearables,Region Z,44730.12,2236505
2026-06-15,C-1045,Apparel,Region X,475232.56,23761628
2026-06-15,C-1046,Apparel,Region Y,260355.41,13017770
2026-06-15,C-1047,Apparel,Region Z,163673.12,8183656
2026-06-15,C-1048,Beauty,Region X,255337.28,12766864
2026-06-15,C-1049,Beauty,Region Y,141429.79,7071489
2026-06-15,C-1050,Beauty,Region Z,91789.53,4589476
2026-06-15,C-1051,Electronics,Region X,820799.8,41039990
2026-06-15,C-1052,Electronics,Region Y,427871.98,21393598
2026-06-15,C-1053,Electronics,Region Z,274443.06,13722152
2026-06-15,C-1054,Home & Kitchen,Region X,319058.76,15952937
2026-06-15,C-1055,Home & Kitchen,Region Y,152252.02,7612601
2026-06-15,C-1056,Home & Kitchen,Region Z,108340.19,5417009
2026-06-15,C-1057,Wearables,Region X,128731.73,6436586
2026-06-15,C-1058,Wearables,Region Y,68177.77,3408888
2026-06-15,C-1059,Wearables,Region Z,45319.09,2265954
2026-06-22,C-1060,Apparel,Region X,463503.23,23175161
2026-06-22,C-1061,Apparel,Region Y,229060.78,11453038
2026-06-22,C-1062,Apparel,Region Z,165740.65,8287032
2026-06-22,C-1063,Beauty,Region X,241385.2,12069259
2026-06-22,C-1064,Beauty,Region Y,136313.26,6815662
2026-06-22,C-1065,Beauty,Region Z,84869.29,4243464
2026-06-22,C-1066,Electronics,Region X,770374.93,38518746
2026-06-22,C-1067,Electronics,Region Y,435170.96,21758548
2026-06-22,C-1068,Electronics,Region Z,274568.06,13728403
2026-06-22,C-1069,Home & Kitchen,Region X,306400.25,15320012
2026-06-22,C-1070,Home & Kitchen,Region Y,173267.19,8663359
2026-06-22,C-1071,Home & Kitchen,Region Z,101591.09,5079554
2026-06-22,C-1072,Wearables,Region X,114503.45,5725172
2026-06-22,C-1073,Wearables,Region Y,67762.41,3388120
2026-06-22,C-1074,Wearables,Region Z,43144.55,2157227
2026-06-29,C-1075,Apparel,Region X,478881.45,23944072
2026-06-29,C-1076,Apparel,Region Y,228331.45,11416572
2026-06-29,C-1077,Apparel,Region Z,166396.62,8319831
2026-06-29,C-1078,Beauty,Region X,250840.09,12542004
2026-06-29,C-1079,Beauty,Region Y,140168.65,7008432
2026-06-29,C-1080,Beauty,Region Z,81779.2,4088960
2026-06-29,C-1081,Electronics,Region X,791374.71,39568735
2026-06-29,C-1082,Electronics,Region Y,420802.09,21040104
2026-06-29,C-1083,Electronics,Region Z,268989.28,13449464
2026-06-29,C-1084,Home & Kitchen,Region X,300196.57,15009828
2026-06-29,C-1085,Home & Kitchen,Region Y,173248.84,8662441
2026-06-29,C-1086,Home & Kitchen,Region Z,109095.52,5454775
2026-06-29,C-1087,Wearables,Region X,121747.2,6087359
2026-06-29,C-1088,Wearables,Region Y,66416.26,3320812
2026-06-29,C-1089,Wearables,Region Z,41511.5,2075574
2026-07-06,C-1090,Apparel,Region X,484035.12,24201755
2026-07-06,C-1091,Apparel,Region Y,249883.63,12494181
2026-07-06,C-1092,Apparel,Region Z,151299.95,7564997
2026-07-06,C-1093,Beauty,Region X,239203.63,11960181
2026-07-06,C-1094,Beauty,Region Y,139949.77,6997488
2026-07-06,C-1095,Beauty,Region Z,87819.59,4390979
2026-07-06,C-1096,Electronics,Region X,736985.32,36849265
2026-07-06,C-1097,Electronics,Region Y,463236.6,23161830
2026-07-06,C-1098,Electronics,Region Z,289144.68,14457234
2026-07-06,C-1099,Home & Kitchen,Region X,307767.81,15388390
2026-07-06,C-1100,Home & Kitchen,Region Y,153615.81,7680790
2026-07-06,C-1101,Home & Kitchen,Region Z,102682.54,5134126
2026-07-06,C-1102,Wearables,Region X,128359.34,6417966
2026-07-06,C-1103,Wearables,Region Y,69828.94,3491447
2026-07-06,C-1104,Wearables,Region Z,40558.85,2027942
2026-07-13,C-1105,Apparel,Region X,425308.24,21265411
2026-07-13,C-1106,Apparel,Region Y,245483.88,12274194
2026-07-13,C-1107,Apparel,Region Z,153866.93,7693346
2026-07-13,C-1108,Beauty,Region X,257289.06,12864452
2026-07-13,C-1109,Beauty,Region Y,147761.57,7388078
2026-07-13,C-1110,Beauty,Region Z,85582.02,4279101
2026-07-13,C-1111,Electronics,Region X,743964.69,37198234
2026-07-13,C-1112,Electronics,Region Y,467992.03,23399601
2026-07-13,C-1113,Electronics,Region Z,259300.15,12965007
2026-07-13,C-1114,Home & Kitchen,Region X,321732.76,16086638
2026-07-13,C-1115,Home & Kitchen,Region Y,169344.9,8467244
2026-07-13,C-1116,Home & Kitchen,Region Z,112420.38,5621018
2026-07-13,C-1117,Wearables,Region X,114233.47,5711673
2026-07-13,C-1118,Wearables,Region Y,61149.79,3057489
2026-07-13,C-1119,Wearables,Region Z,41920.77,2096038
2026-07-20,C-1120,Apparel,Region X,446444.89,22322244
2026-07-20,C-1121,Apparel,Region Y,240827.09,12041354
2026-07-20,C-1122,Apparel,Region Z,169032.94,8451647
2026-07-20,C-1123,Beauty,Region X,262903.35,13145167
2026-07-20,C-1124,Beauty,Region Y,141054.8,7052740
2026-07-20,C-1125,Beauty,Region Z,82780.02,4139000
2026-07-20,C-1126,Electronics,Region X,829993.4,41499669
2026-07-20,C-1127,Electronics,Region Y,455981.68,22799083
2026-07-20,C-1128,Electronics,Region Z,276643.05,13832152
2026-07-20,C-1129,Home & Kitchen,Region X,320389.72,16019486
2026-07-20,C-1130,Home & Kitchen,Region Y,156208.22,7810410
2026-07-20,C-1131,Home & Kitchen,Region Z,101091.27,5054563
2026-07-20,C-1132,Wearables,Region X,111613.91,5580695
2026-07-20,C-1133,Wearables,Region Y,69119.96,3455998
2026-07-20,C-1134,Wearables,Region Z,42818.22,2140911
2026-07-27,C-1135,Apparel,Region X,436675.7,21833785
2026-07-27,C-1136,Apparel,Region Y,234187.02,11709351
2026-07-27,C-1137,Apparel,Region Z,145911.72,7295586
2026-07-27,C-1138,Beauty,Region X,236669.82,11833491
2026-07-27,C-1139,Beauty,Region Y,136472.26,6823613
2026-07-27,C-1140,Beauty,Region Z,83960.48,4198023
2026-07-27,C-1141,Electronics,Region X,769149.72,38457485
2026-07-27,C-1142,Electronics,Region Y,466440.58,23322028
2026-07-27,C-1143,Electronics,Region Z,280678.17,14033908
2026-07-27,C-1144,Home & Kitchen,Region X,311004.09,15550204
2026-07-27,C-1145,Home & Kitchen,Region Y,152742.77,7637138
2026-07-27,C-1146,Home & Kitchen,Region Z,102734.74,5136737
