date,product_id,region,stock_on_hand,stock_out_flag
2026-05-25,P101,Region X,474,0
2026-05-25,P101,Region Y,381,0
2026-05-25,P101,Region Z,485,0
2026-05-25,P102,Region X,490,0
2026-05-25,P102,Region Y,380,0
2026-05-25,P102,Region Z,330,0
2026-05-25,P103,Region X,123,0
2026-05-25,P103,Region Y,103,0
2026-05-25,P103,Region Z,364,0
2026-05-25,P104,Region X,408,0
2026-05-25,P104,Region Y,231,0
2026-05-25,P104,Region Z,233,0
2026-05-25,P201,Region X,140,0
2026-05-25,P201,Region Y,302,0
2026-05-25,P201,Region Z,308,0
2026-05-25,P202,Region X,209,0
2026-05-25,P202,Region Y,363,0
2026-05-25,P202,Region Z,378,0
2026-05-25,P203,Region X,96,0
2026-05-25,P203,Region Y,190,0
2026-05-25,P203,Region Z,212,0
2026-05-25,P204,Region X,129,0
2026-05-25,P204,Region Y,165,0
2026-05-25,P204,Region Z,89,0
2026-05-25,P301,Region X,120,0
2026-05-25,P301,Region Y,206,0
2026-05-25,P301,Region Z,67,0
2026-05-25,P302,Region X,499,0
2026-05-25,P302,Region Y,334,0
2026-05-25,P302,Region Z,253,0
2026-05-25,P303,Region X,394,0
2026-05-25,P303,Region Y,383,0
2026-05-25,P303,Region Z,105,0
2026-05-25,P304,Region X,373,0
2026-05-25,P304,Region Y,333,0
2026-05-25,P304,Region Z,42,0
2026-05-25,P401,Region X,306,0
2026-05-25,P401,Region Y,48,0
2026-05-25,P401,Region Z,432,0
2026-05-25,P402,Region X,201,0
2026-05-25,P402,Region Y,140,0
2026-05-25,P402,Region Z,239,0
2026-05-25,P403,Region X,118,0
2026-05-25,P403,Region Y,408,0
2026-05-25,P403,Region Z,230,0
2026-05-26,P101,Region X,327,0
2026-05-26,P101,Region Y,257,0
2026-05-26,P101,Region Z,443,0
2026-05-26,P102,Region X,112,0
2026-05-26,P102,Region Y,443,0
2026-05-26,P102,Region Z,459,0
2026-05-26,P103,Region X,446,0
2026-05-26,P103,Region Y,53,0
2026-05-26,P103,Region Z,329,0
2026-05-26,P104,Region X,252,0
2026-05-26,P104,Region Y,226,0
2026-05-26,P104,Region Z,167,0
2026-05-26,P201,Region X,158,0
2026-05-26,P201,Region Y,131,0
2026-05-26,P201,Region Z,329,0
2026-05-26,P202,Region X,300,0
2026-05-26,P202,Region Y,60,0
2026-05-26,P202,Region Z,267,0
2026-05-26,P203,Region X,239,0
2026-05-26,P203,Region Y,469,0
2026-05-26,P203,Region Z,358,0
2026-05-26,P204,Region X,182,0
2026-05-26,P204,Region Y,443,0
2026-05-26,P204,Region Z,412,0
2026-05-26,P301,Region X,418,0
2026-05-26,P301,Region Y,442,0
2026-05-26,P301,Region Z,334,0
2026-05-26,P302,Region X,403,0
2026-05-26,P302,Region Y,368,0
2026-05-26,P302,Region Z,92,0
2026-05-26,P303,Region X,403,0
2026-05-26,P303,Region Y,252,0
2026-05-26,P303,Region Z,464,0
2026-05-26,P304,Region X,432,0
2026-05-26,P304,Region Y,415,0
2026-05-26,P304,Region Z,167,0
2026-05-26,P401,Region X,56,0
2026-05-26,P401,Region Y,361,0
2026-05-26,P401,Region Z,270,0
2026-05-26,P402,Region X,227,0
2026-05-26,P402,Region Y,412,0
2026-05-26,P402,Region Z,291,0
2026-05-26,P403,Region X,218,0
2026-05-26,P403,Region Y,211,0
2026-05-26,P403,Region Z,473,0
2026-05-27,P101,Region X,354,0
2026-05-27,P101,Region Y,82,0
2026-05-27,P101,Region Z,301,0
2026-05-27,P102,Region X,277,0
2026-05-27,P102,Region Y,449,0
2026-05-27,P102,Region Z,418,0
2026-05-27,P103,Region X,438,0
2026-05-27,P103,Region Y,389,0
2026-05-27,P103,Region Z,261,0
2026-05-27,P104,Region X,363,0
2026-05-27,P104,Region Y,86,0
2026-05-27,P104,Region Z,420,0
2026-05-27,P201,Region X,454,0
2026-05-27,P201,Region Y,478,0
2026-05-27,P201,Region Z,209,0
2026-05-27,P202,Region X,389,0
2026-05-27,P202,Region Y,285,0
2026-05-27,P202,Region Z,156,0
2026-05-27,P203,Region X,378,0
2026-05-27,P203,Region Y,41,0
2026-05-27,P203,Region Z,410,0
2026-05-27,P204,Region X,256,0
2026-05-27,P204,Region Y,69,0
2026-05-27,P204,Region Z,413,0
2026-05-27,P301,Region X,336,0
2026-05-27,P301,Region Y,416,0
2026-05-27,P301,Region Z,318,0
2026-05-27,P302,Region X,459,0
2026-05-27,P302,Region Y,261,0
2026-05-27,P302,Region Z,382,0
2026-05-27,P303,Region X,344,0
2026-05-27,P303,Region Y,360,0
2026-05-27,P303,Region Z,293,0
2026-05-27,P304,Region X,88,0
2026-05-27,P304,Region Y,208,0
2026-05-27,P304,Region Z,145,0
2026-05-27,P401,Region X,404,0
2026-05-27,P401,Region Y,145,0
2026-05-27,P401,Region Z,405,0
2026-05-27,P402,Region X,454,0
2026-05-27,P402,Region Y,60,0
2026-05-27,P402,Region Z,368,0
2026-05-27,P403,Region X,238,0
2026-05-27,P403,Region Y,459,0
2026-05-27,P403,Region Z,250,0
2026-05-28,P101,Region X,452,0
2026-05-28,P101,Region Y,152,0
2026-05-28,P101,Region Z,255,0
2026-05-28,P102,Region X,477,0
2026-05-28,P102,Region Y,280,0
2026-05-28,P102,Region Z,355,0
2026-05-28,P103,Region X,212,0
2026-05-28,P103,Region Y,465,0
2026-05-28,P103,Region Z,286,0
2026-05-28,P104,Region X,408,0
2026-05-28,P104,Region Y,296,0
2026-05-28,P104,Region Z,254,0
2026-05-28,P201,Region X,241,0
2026-05-28,P201,Region Y,451,0
2026-05-28,P201,Region Z,249,0
2026-05-28,P202,Region X,388,0
2026-05-28,P202,Region Y,192,0
2026-05-28,P202,Region Z,245,0
2026-05-28,P203,Region X,104,0
2026-05-28,P203,Region Y,216,0
2026-05-28,P203,Region Z,413,0
2026-05-28,P204,Region X,264,0
2026-05-28,P204,Region Y,326,0
2026-05-28,P204,Region Z,283,0
