date,product_id,product_name,category,region,units_sold,unit_price,revenue
2026-05-25,P101,VoltX Pro 5G Phone,Electronics,Region X,75,24999.0,1874925.0
2026-05-25,P101,VoltX Pro 5G Phone,Electronics,Region Y,35,24999.0,874965.0
2026-05-25,P101,VoltX Pro 5G Phone,Electronics,Region Z,18,24999.0,449982.0
2026-05-25,P102,VoltX Lite 5G Phone,Electronics,Region X,47,14999.0,704953.0
2026-05-25,P102,VoltX Lite 5G Phone,Electronics,Region Y,24,14999.0,359976.0
2026-05-25,P102,VoltX Lite 5G Phone,Electronics,Region Z,16,14999.0,239984.0
2026-05-25,P103,SoundCore Buds,Electronics,Region X,80,2999.0,239920.0
2026-05-25,P103,SoundCore Buds,Electronics,Region Y,54,2999.0,161946.0
2026-05-25,P103,SoundCore Buds,Electronics,Region Z,31,2999.0,92969.0
2026-05-25,P104,NovaTab 11,Electronics,Region X,27,18999.0,512973.0
2026-05-25,P104,NovaTab 11,Electronics,Region Y,6,18999.0,113994.0
2026-05-25,P104,NovaTab 11,Electronics,Region Z,9,18999.0,170991.0
2026-05-25,P201,UrbanDen Jacket,Apparel,Region X,42,3499.0,146958.0
2026-05-25,P201,UrbanDen Jacket,Apparel,Region Y,21,3499.0,73479.0
2026-05-25,P201,UrbanDen Jacket,Apparel,Region Z,19,3499.0,66481.0
2026-05-25,P202,FlexiKnit Tee,Apparel,Region X,119,999.0,118881.0
2026-05-25,P202,FlexiKnit Tee,Apparel,Region Y,64,999.0,63936.0
2026-05-25,P202,FlexiKnit Tee,Apparel,Region Z,37,999.0,36963.0
2026-05-25,P203,TrailBlaze Sneakers,Apparel,Region X,28,4599.0,128772.0
2026-05-25,P203,TrailBlaze Sneakers,Apparel,Region Y,15,4599.0,68985.0
2026-05-25,P203,TrailBlaze Sneakers,Apparel,Region Z,21,4599.0,96579.0
2026-05-25,P204,CloudWeave Hoodie,Apparel,Region X,33,2199.0,72567.0
2026-05-25,P204,CloudWeave Hoodie,Apparel,Region Y,19,2199.0,41781.0
2026-05-25,P204,CloudWeave Hoodie,Apparel,Region Z,7,2199.0,15393.0
2026-05-25,P301,ChefPro Blender,Home & Kitchen,Region X,20,5499.0,109980.0
2026-05-25,P301,ChefPro Blender,Home & Kitchen,Region Y,8,5499.0,43992.0
2026-05-25,P301,ChefPro Blender,Home & Kitchen,Region Z,1,5499.0,5499.0
2026-05-25,P302,AeroFry Air Cooker,Home & Kitchen,Region X,11,8999.0,98989.0
2026-05-25,P302,AeroFry Air Cooker,Home & Kitchen,Region Y,13,8999.0,116987.0
2026-05-25,P302,AeroFry Air Cooker,Home & Kitchen,Region Z,7,8999.0,62993.0
2026-05-25,P303,PureSip Bottle,Home & Kitchen,Region X,147,899.0,132153.0
2026-05-25,P303,PureSip Bottle,Home & Kitchen,Region Y,76,899.0,68324.0
2026-05-25,P303,PureSip Bottle,Home & Kitchen,Region Z,66,899.0,59334.0
2026-05-25,P304,LoomNest Bedsheet,Home & Kitchen,Region X,26,1799.0,46774.0
2026-05-25,P304,LoomNest Bedsheet,Home & Kitchen,Region Y,14,1799.0,25186.0
2026-05-25,P304,LoomNest Bedsheet,Home & Kitchen,Region Z,8,1799.0,14392.0
2026-05-25,P401,GlowLab Serum,Beauty,Region X,64,1299.0,83136.0
2026-05-25,P401,GlowLab Serum,Beauty,Region Y,48,1299.0,62352.0
2026-05-25,P401,GlowLab Serum,Beauty,Region Z,24,1299.0,31176.0
2026-05-25,P402,SilkTouch Shampoo,Beauty,Region X,159,449.0,71391.0
2026-05-25,P402,SilkTouch Shampoo,Beauty,Region Y,77,449.0,34573.0
2026-05-25,P402,SilkTouch Shampoo,Beauty,Region Z,58,449.0,26042.0
2026-05-25,P403,DewDrop Moisturizer,Beauty,Region X,91,799.0,72709.0
2026-05-25,P403,DewDrop Moisturizer,Beauty,Region Y,50,799.0,39950.0
2026-05-25,P403,DewDrop Moisturizer,Beauty,Region Z,26,799.0,20774.0
2026-05-26,P101,VoltX Pro 5G Phone,Electronics,Region X,53,24999.0,1324947.0
2026-05-26,P101,VoltX Pro 5G Phone,Electronics,Region Y,26,24999.0,649974.0
2026-05-26,P101,VoltX Pro 5G Phone,Electronics,Region Z,16,24999.0,399984.0
2026-05-26,P102,VoltX Lite 5G Phone,Electronics,Region X,43,14999.0,644957.0
2026-05-26,P102,VoltX Lite 5G Phone,Electronics,Region Y,18,14999.0,269982.0
2026-05-26,P102,VoltX Lite 5G Phone,Electronics,Region Z,24,14999.0,359976.0
2026-05-26,P103,SoundCore Buds,Electronics,Region X,69,2999.0,206931.0
2026-05-26,P103,SoundCore Buds,Electronics,Region Y,57,2999.0,170943.0
2026-05-26,P103,SoundCore Buds,Electronics,Region Z,41,2999.0,122959.0
2026-05-26,P104,NovaTab 11,Electronics,Region X,19,18999.0,360981.0
2026-05-26,P104,NovaTab 11,Electronics,Region Y,15,18999.0,284985.0
2026-05-26,P104,NovaTab 11,Electronics,Region Z,11,18999.0,208989.0
2026-05-26,P201,UrbanDen Jacket,Apparel,Region X,39,3499.0,136461.0
2026-05-26,P201,UrbanDen Jacket,Apparel,Region Y,28,3499.0,97972.0
2026-05-26,P201,UrbanDen Jacket,Apparel,Region Z,18,3499.0,62982.0
2026-05-26,P202,FlexiKnit Tee,Apparel,Region X,121,999.0,120879.0
2026-05-26,P202,FlexiKnit Tee,Apparel,Region Y,63,999.0,62937.0
2026-05-26,P202,FlexiKnit Tee,Apparel,Region Z,51,999.0,50949.0
2026-05-26,P203,TrailBlaze Sneakers,Apparel,Region X,33,4599.0,151767.0
2026-05-26,P203,TrailBlaze Sneakers,Apparel,Region Y,14,4599.0,64386.0
2026-05-26,P203,TrailBlaze Sneakers,Apparel,Region Z,8,4599.0,36792.0
2026-05-26,P204,CloudWeave Hoodie,Apparel,Region X,52,2199.0,114348.0
2026-05-26,P204,CloudWeave Hoodie,Apparel,Region Y,8,2199.0,17592.0
2026-05-26,P204,CloudWeave Hoodie,Apparel,Region Z,11,2199.0,24189.0
2026-05-26,P301,ChefPro Blender,Home & Kitchen,Region X,18,5499.0,98982.0
2026-05-26,P301,ChefPro Blender,Home & Kitchen,Region Y,11,5499.0,60489.0
